,Date,Open,High,Low,Close,Volume
437,2021-10-07,108.0,110.34,107.76,109.08,2483027.0
438,2021-10-08,109.5,111.0,108.5,110.26,5834015.0
439,2021-10-11,109.53,110.49,109.02,109.65,1206108.0
440,2021-10-12,109.73,114.89,108.98,114.02,6622254.0
441,2021-10-13,114.5,116.57,113.15,114.94,2676084.0
442,2021-10-14,115.0,119.5,114.1,119.15,2542510.0
443,2021-10-15,119.9,120.0,117.79,119.03,1357210.0
444,2021-10-18,119.74,122.8,117.05,121.79,1824940.0
445,2021-10-20,122.5,125.5,121.0,124.31,2318448.0
446,2021-10-21,124.0,131.9,122.22,127.74,6216289.0
447,2021-10-22,127.8,131.0,126.0,129.7,1951983.0
448,2021-10-25,128.01,129.0,126.55,127.8,544116.0
449,2021-10-26,129.7,129.7,125.0,125.72,722456.0
450,2021-10-27,125.4,126.51,122.9,123.87,1529652.0
451,2021-10-28,124.0,124.9,122.48,124.44,755674.0
452,2021-10-29,125.5,129.0,123.05,126.16,1933104.0
453,2021-11-01,126.95,128.99,126.01,126.96,465436.0
454,2021-11-02,127.0,128.9,126.0,127.98,2460565.0
455,2021-11-03,128.95,128.95,125.0,125.26,717179.0
456,2021-11-04,125.79,126.1,123.51,124.31,1660552.0
457,2021-11-05,125.89,126.4,124.05,125.55,1356774.0
458,2021-11-08,125.6,127.01,125.2,126.65,705569.0
459,2021-11-09,127.4,127.4,125.25,125.32,854225.0
460,2021-11-10,126.0,126.88,124.1,124.57,453390.0
461,2021-11-11,124.97,124.97,124.0,124.11,2398042.0
462,2021-11-12,124.1,125.47,123.0,123.41,415477.0
463,2021-11-15,122.15,125.94,122.15,124.91,495611.0
464,2021-11-16,125.45,126.49,123.05,125.95,878994.0
465,2021-11-17,126.5,127.75,123.66,124.66,4162783.0
466,2021-11-18,125.0,125.94,122.31,123.78,1242516.0
467,2021-11-19,123.6,126.9,123.6,125.86,3135415.0
468,2021-11-22,128.0,129.1,123.52,124.68,4487112.0
469,2021-11-23,124.5,124.5,122.4,123.27,1852315.0
470,2021-11-24,123.05,123.05,119.57,120.15,3810386.0
471,2021-11-25,120.87,120.87,116.0,117.53,4966495.0
472,2021-11-26,116.1,120.74,116.1,119.43,3450455.0
473,2021-11-29,118.1,126.9,118.1,125.16,5093343.0
474,2021-11-30,126.89,127.75,120.01,123.35,31480344.0
475,2021-12-01,125.0,125.5,122.11,124.67,2901710.0
476,2021-12-02,123.99,124.04,117.5,119.52,2946383.0
477,2021-12-03,118.9,124.23,117.15,123.2,3277436.0
478,2021-12-06,123.9,123.95,121.06,121.42,1012588.0
479,2021-12-07,122.9,124.0,121.5,122.56,2059729.0
480,2021-12-08,122.95,123.85,121.15,122.4,2355553.0
481,2021-12-09,122.95,122.95,118.91,120.56,1054086.0
482,2021-12-10,121.8,121.8,119.46,119.58,1030716.0
483,2021-12-13,120.43,120.5,118.65,119.29,803835.0
484,2021-12-14,119.49,120.75,118.0,119.39,2087508.0
485,2021-12-15,119.96,120.0,118.51,118.95,1795873.0
486,2021-12-16,119.25,119.75,115.0,115.65,2280425.0
487,2021-12-17,116.7,118.55,114.5,118.04,1652856.0
488,2021-12-20,118.95,120.1,117.1,118.54,1565638.0
489,2021-12-21,118.0,119.02,117.21,117.69,533753.0
490,2021-12-22,118.7,118.7,117.0,117.99,761750.0
491,2021-12-23,116.57,118.5,116.57,117.34,801572.0
492,2021-12-24,117.8,117.8,116.51,116.8,321524.0
493,2021-12-27,117.91,117.91,116.0,116.16,379513.0
